id|nodes
106351763|[111456580, 111456582, 111456584, 111456586, 111456587, 111456591, 111456596, 111456599, 111456602, 111456604, 111456605, 1223903189, 111456607, 111456610, 111456614, 111456618, 111456621, 111456624, 111456627, 111456630]
106351765|[1223903153, 1223903177, 111547340]
106351767|[1223903167, 1223903120, 1223903159, 1223903160, 1223903152, 1223903113, 1223903124]
106351769|[1223903189, 1223903134, 1223903101, 1223903088, 1223903095, 1223903108, 1223903145, 1223903156, 1223903184, 1223903148, 1223903090, 1223903124, 1223903091, 1223903117, 1223903167, 1223903128, 1223903118, 1223903114, 1223903180, 1223903104, 1223903153, 1223903105]
108283357|[1242663814, 1242663870, 1242663857, 1242663810]
108283358|[1242663831, 1242663855, 1242663847, 1242663813, 1242663831]
108283361|[1242663823, 1242663839, 1242663811, 1242663807, 1242663823]
108283362|[1242663828, 1242663866, 1242663821, 1242663864, 1242663828]
108283364|[1242663805, 1242663840, 1242663867, 1242663815, 1242663810, 1242663819]
108283365|[1242663860, 1223903127, 1242663843, 1242663804, 1242663830, 1242663842, 1242663838, 1242663834, 1242663873, 1242663852, 1242663874, 1242663836, 1242663856, 1242663862, 1242663825, 1242663822, 1242663803, 1242663818, 1242663851, 1242663858, 1242663853, 1242663837, 1242663846, 1242663820, 1242663824, 1223903161, 1242663827, 1242663875, 1242663860]
108283368|[1242663820, 1242663812, 1242663865, 1223903122, 1242663853]
140646776|[1540485657, 1540485656, 1540485648, 1540485649, 1540485654, 1540485659, 1540485657]
140646779|[1540485655, 1540485658, 1540485661, 1540485653, 1540485652, 1540485651, 1540485655]
146669747|[1599412681, 1599412686, 1599412683, 6025238859, 1599412701, 8065887408, 1599412680, 6025238858, 1599412688, 1599412703, 1599412679]
150643765|[111407444, 7272107465, 6951305773, 111407446, 111407448, 111407450, 111407453]
227992053|[111622783, 111622717]
227992054|[111622717, 111622721, 111622726, 111622729, 111622730, 111622732, 111622735, 111622738, 111547344, 111622742, 111622746, 111622750, 111622754, 111622755, 111622758, 111622760, 111622764, 111622767, 111622770, 111622774, 111622777, 111622781, 111622783]
639217152|[6023681622, 6023681621, 6023681620, 6023681619, 6023681622]
639217160|[6023692486, 6023692485, 6023681684, 6023681683, 6023692486]
639217161|[6023692494, 6023692493, 6023692492, 6023692491, 6023692490, 6023692489, 6023692488, 6023692487, 6023692494]
639217163|[6023692498, 6023692497, 6023692496, 6023692495, 6023692498]
639217171|[6023692518, 6023692517, 6023692516, 6023692515, 6023692518]
639217172|[6023692522, 6023692521, 6023692520, 6023692519, 6023692522]
639217176|[6023692530, 6023692529, 6023692528, 6023692527, 6023692530]
639217179|[6023692544, 6023692543, 6023692542, 6023692541, 6023692540, 6023692539, 6023692538, 6023692537, 6023692536, 6023692535, 6023692544]
639217181|[6023692548, 6023692547, 6023692546, 6023692545, 6023692548]
639217183|[6023692552, 6023692551, 6023692550, 6023692549, 6023692552]
639217185|[6023692556, 6023692555, 6023692554, 6023692553, 6023692556]
639217190|[6023692578, 6023692577, 6023692576, 6023692575, 6023692574, 6023692573, 6023692572, 6023692571, 6023692578]
639217194|[6023692586, 6023692585, 6023692584, 6023692583, 6023692586]
639217196|[6023692590, 6023692589, 6023692588, 6023692587, 6023692590]
639217197|[6023692594, 6023692593, 6023692592, 6023692591, 6023692594]
639217199|[6023692598, 6023692597, 6023692596, 6023692595, 6023692598]
639217201|[6023692602, 6023692601, 6023692600, 6023692599, 6023692602]
639217203|[6023692608, 6023692607, 6023692606, 6023692605, 6023692604, 6023692603, 6023692608]
639217204|[6023692612, 6023692611, 6023692610, 6023692609, 6023692612]
639217208|[6023692626, 6023692625, 6023692624, 6023692623, 6023692622, 6023692621, 6023692626]
639217213|[6023692640, 6023692639, 6023692638, 6023692637, 6023692640]
639217215|[6023692644, 6023692643, 6023692642, 6023692641, 6023692644]
639217217|[6023692648, 6023692647, 6023692646, 6023692645, 6023692648]
639217218|[6023692652, 6023692651, 6023692650, 6023692649, 6023692652]
639217220|[6023692656, 6023692655, 6023692654, 6023692653, 6023692656]
639217222|[6023692660, 6023692659, 6023692658, 6023692657, 6023692660]
639217224|[6023692664, 6023692663, 6023692662, 6023692661, 6023692664]
639217225|[6023692670, 6023692669, 6023692668, 6023692667, 6023692666, 6023692665, 6023692670]
639217227|[6023692674, 6023692673, 6023692672, 6023692671, 6023692674]
639217229|[6023692678, 6023692677, 6023692676, 6023692675, 6023692678]
639217231|[6023692682, 6023692681, 6023692680, 6023692679, 6023692682]
639217232|[6023692688, 6023692687, 6023692686, 6023692685, 6023692684, 6023692683, 6023692688]
639217234|[6023692692, 6023692691, 6023692690, 6023692689, 6023692692]
639217236|[6023692696, 6023692695, 6023692694, 6023692693, 6023692696]
639217238|[6023692700, 6023692699, 6023692698, 6023692697, 6023692700]
639217240|[6023692704, 6023692703, 6023692702, 6023692701, 6023692704]
639217245|[6023692718, 6023692717, 6023692716, 6023692715, 6023692714, 6023692713, 6023692718]
639217252|[6023692738, 6023692737, 6023692736, 6023692735, 6023692734, 6023692733, 6023692738]
639217256|[6023692752, 6023692751, 6023692750, 6023692749, 6023692748, 6023692747, 6023692746, 6023692745, 6023692744, 6023692743, 6023692752]
639217260|[6023692760, 6023692759, 6023692758, 6023692757, 6023692760]
639217267|[6023692778, 6023692777, 6023692776, 6023692775, 6023692778]
639217269|[6023692782, 6023692781, 6023692780, 6023692779, 6023692782]
639217273|[6023692790, 6023692789, 6023692788, 6023692787, 6023692790]
639217274|[6023692794, 6023692793, 6023692792, 6023692791, 6023692794]
639217276|[6023692800, 6023692799, 6023692798, 6023692797, 6023692796, 6023692795, 6023692800]
639217278|[6023692806, 6023692805, 6023692804, 6023692803, 6023692802, 6023692801, 6023692806]
639217282|[6023692814, 6023692813, 6023692812, 6023692811, 6023692814]
639217284|[6023692820, 6023692819, 6023692818, 6023692817, 6023692816, 6023692815, 6023692820]
639217285|[6023692824, 6023692823, 6023692822, 6023692821, 6023692824]
639217291|[6023692832, 6023692831, 6023692830, 6023692829, 6023692832]
639217294|[6023692836, 6023692835, 6023692834, 6023692833, 6023692836]
639217297|[6023692840, 6023692839, 6023692838, 6023692837, 6023692840]
639217299|[6023692844, 6023692843, 6023692842, 6023692841, 6023692844]
639217308|[6023692860, 6023692859, 6023692858, 6023692857, 6023692860]
639217314|[6023692872, 6023692871, 6023692870, 6023692869, 6023692868, 6023692867, 6023692872]
639217317|[6023692876, 6023692875, 6023692874, 6023692873, 6023692876]
639217320|[6023692882, 6023692881, 6023692880, 6023692879, 6023692878, 6023692877, 6023692882]
639217323|[6023692886, 6023692885, 6023692884, 6023692883, 6023692886]
639217325|[6023692890, 6023692889, 6023692888, 6023692887, 6023692890]
639217328|[6023692896, 6023692895, 6023692894, 6023692893, 6023692892, 6023692891, 6023692896]
639217331|[6023692900, 6023692899, 6023692898, 6023692897, 6023692900]
639217334|[6023692904, 6023692903, 6023692902, 6023692901, 6023692904]
639217336|[6023692910, 6023692909, 6023692908, 6023692907, 6023692906, 6023692905, 6023692910]
