"timestamp","system_time","lat","lon","speed","bearing","provider"
"1525377763000","1525377762542","42.97809678","-78.78281078","22.25","133.9","gps"
"1525377764000","1525377763539","42.97795248","-78.78260519","21.5","134.3","gps"
"1525377765000","1525377764538","42.97781875","-78.78241856","21.5","134.3","gps"
"1525377766000","1525377765541","42.97769891","-78.78224896","20.0","135.5","gps"
"1525377767000","1525377766541","42.97757187","-78.78208295","19.5","135.9","gps"
"1525377768000","1525377767540","42.9774378","-78.78193188","19.0","136.7","gps"
"1525377769000","1525377768538","42.97731094","-78.78176915","19.0","136.7","gps"
"1525377770000","1525377769540","42.9771899","-78.78161618","17.75","136.4","gps"
"1525377771000","1525377770540","42.97708936","-78.78146688","16.5","136.1","gps"
"1525377772000","1525377771540","42.97699211","-78.78133814","15.5","136.1","gps"
"1525377773000","1525377772540","42.97689426","-78.78121097","15.0","136.3","gps"
"1525377774000","1525377773542","42.97680157","-78.78108613","14.75","137.3","gps"
"1525377775000","1525377774540","42.97670502","-78.78096461","14.75","137.3","gps"
"1525377776000","1525377775539","42.97662596","-78.7808543","13.5","135.9","gps"
"1525377777000","1525377776541","42.97654467","-78.78074142","13.0","136.6","gps"
"1525377778000","1525377777540","42.976471","-78.78063335","11.75","136.7","gps"
"1525377779000","1525377778540","42.97639448","-78.78053523","11.75","136.7","gps"
"1525377780000","1525377779541","42.97634721","-78.78048066","8.25","136.3","gps"
"1525377781000","1525377780543","42.97629433","-78.78041187","8.25","136.3","gps"
"1525377782000","1525377781542","42.97628978","-78.78038478","4.25","137.3","gps"
"1525377783000","1525377782540","42.97626185","-78.78034971","4.25","137.3","gps"
"1525377785000","1525377784541","42.976246","-78.78035488","0.75","136.5","gps"
"1525377787000","1525377786541","42.97624125","-78.78033105","0.5","127.8","gps"
"1525377789000","1525377788545","42.97623439","-78.78032132","0.75","127.8","gps"
"1525377790000","1525377789540","42.97622204","-78.78031697","0.75","127.8","gps"
"1525377794000","1525377793543","42.97621613","-78.78030736","0.25","127.8","gps"
"1525377796000","1525377795539","42.97620409","-78.78029669","0.75","135.8","gps"
"1525377797000","1525377796538","42.97619615","-78.78028726","1.0","136.7","gps"
"1525377798000","1525377797545","42.97618508","-78.78027283","1.5","136.0","gps"
"1525377799000","1525377798539","42.97616521","-78.78024631","3.0","135.5","gps"
"1525377800000","1525377799541","42.97613968","-78.78020933","4.0","135.3","gps"
"1525377801000","1525377800539","42.9761132","-78.7801737","4.0","135.3","gps"
"1525377802000","1525377801540","42.97605827","-78.78008812","5.5","135.7","gps"
"1525377803000","1525377802547","42.97601822","-78.78004547","5.5","136.1","gps"
"1525377804000","1525377803541","42.97597947","-78.77999774","5.5","136.4","gps"
"1525377805000","1525377804540","42.97594509","-78.77995121","5.5","136.8","gps"
"1525377806000","1525377805542","42.97590665","-78.77990264","5.5","134.7","gps"
"1525377807000","1525377806546","42.97587089","-78.77985264","5.25","135.6","gps"
"1525377808000","1525377807539","42.97583234","-78.77980716","5.5","137.0","gps"
"1525377809000","1525377808539","42.97579337","-78.7797537","5.75","136.7","gps"
"1525377810000","1525377809542","42.97574929","-78.7796969","6.75","134.7","gps"
"1525377811000","1525377810540","42.9756996","-78.7796243","8.25","132.8","gps"
"1525377812000","1525377811541","42.97564333","-78.77953618","9.5","131.3","gps"
"1525377813000","1525377812540","42.97558742","-78.77944951","9.5","131.3","gps"
"1525377814000","1525377813540","42.97553439","-78.77936178","9.25","133.3","gps"
"1525377815000","1525377814541","42.97548369","-78.77928895","9.0","134.5","gps"
"1525377816000","1525377815541","42.97543188","-78.77921557","8.25","134.5","gps"
"1525377817000","1525377816540","42.97539136","-78.77915214","7.5","135.4","gps"
"1525377818000","1525377817540","42.97534762","-78.77908938","7.0","135.5","gps"
"1525377819000","1525377818540","42.97530045","-78.77902672","6.5","136.3","gps"
"1525377820000","1525377819543","42.97525406","-78.77897328","6.25","136.2","gps"
"1525377821000","1525377820541","42.97521179","-78.77891104","5.75","129.4","gps"
"1525377822000","1525377821558","42.97516737","-78.77884451","6.0","137.1","gps"
"1525377823000","1525377822539","42.97512791","-78.77879458","6.0","137.1","gps"
"1525377824000","1525377823540","42.97508034","-78.77875845","5.75","136.9","gps"
"1525377825000","1525377824539","42.97504764","-78.77870538","6.25","136.4","gps"
"1525377826000","1525377825539","42.9750069","-78.77865259","6.25","136.4","gps"
"1525377827000","1525377826541","42.97495965","-78.77860618","6.25","135.8","gps"
"1525377828000","1525377827543","42.97492739","-78.77855965","6.0","135.5","gps"
"1525377829000","1525377828541","42.97488844","-78.77850746","6.0","135.5","gps"
"1525377830000","1525377829540","42.97483877","-78.77844994","7.0","136.1","gps"
"1525377831000","1525377830538","42.97479076","-78.77838224","7.5","136.3","gps"
"1525377832000","1525377831540","42.97474358","-78.77831893","7.75","138.4","gps"
"1525377833000","1525377832543","42.97468425","-78.77825936","7.5","135.6","gps"
"1525377834000","1525377833543","42.9746326","-78.7781965","7.25","136.8","gps"
"1525377835000","1525377834545","42.97458729","-78.77813515","7.25","136.5","gps"
"1525377836000","1525377835539","42.9745384","-78.7780719","7.25","136.5","gps"
"1525377837000","1525377836539","42.97448408","-78.77801812","7.0","136.1","gps"
"1525377838000","1525377837539","42.97443405","-78.77796436","7.25","136.4","gps"
"1525377839000","1525377838541","42.97438622","-78.77790205","7.5","136.1","gps"
"1525377840000","1525377839538","42.97433408","-78.77783579","7.75","137.2","gps"
"1525377841000","1525377840541","42.9742793","-78.77776866","8.0","136.5","gps"
"1525377842000","1525377841540","42.97422749","-78.7777018","8.0","136.5","gps"
"1525377843000","1525377842540","42.97416997","-78.77763839","8.5","136.6","gps"
"1525377844000","1525377843541","42.97411355","-78.77756573","8.5","136.6","gps"
"1525377845000","1525377844538","42.9740551","-78.77747616","9.0","136.4","gps"
"1525377846000","1525377845541","42.97399625","-78.77739611","9.25","136.4","gps"
"1525377847000","1525377846541","42.97394241","-78.77732716","9.25","137.0","gps"
"1525377848000","1525377847542","42.97387811","-78.77724769","9.0","136.2","gps"
"1525377849000","1525377848540","42.97381804","-78.7771691","9.0","136.2","gps"
"1525377850000","1525377849540","42.97375551","-78.77709132","8.75","135.3","gps"
"1525377851000","1525377850538","42.9736989","-78.77701448","9.0","137.1","gps"
"1525377852000","1525377851541","42.97363918","-78.77694123","9.25","136.2","gps"
"1525377853000","1525377852540","42.9735816","-78.7768576","9.5","136.1","gps"
"1525377854000","1525377853544","42.97351433","-78.77678321","9.5","135.8","gps"
"1525377855000","1525377854542","42.97345842","-78.77669178","10.0","131.2","gps"
"1525377856000","1525377855539","42.97339969","-78.77660036","10.0","131.2","gps"
"1525377857000","1525377856539","42.9733324","-78.77652927","9.75","136.3","gps"
"1525377858000","1525377857542","42.97327064","-78.77644355","9.5","136.2","gps"
"1525377859000","1525377858541","42.97321221","-78.77636722","9.5","136.3","gps"
"1525377860000","1525377859542","42.97315234","-78.77628679","9.75","137.0","gps"
"1525377861000","1525377860540","42.97308885","-78.77620549","9.75","136.2","gps"
"1525377862000","1525377861543","42.97302954","-78.77611958","9.75","135.8","gps"
"1525377863000","1525377862539","42.97297511","-78.77602928","9.75","135.3","gps"
"1525377864000","1525377863539","42.9729081","-78.77595036","9.5","136.1","gps"
"1525377865000","1525377864540","42.97284419","-78.77586492","9.5","135.8","gps"
"1525377866000","1525377865539","42.97278481","-78.77579747","9.0","136.2","gps"
"1525377867000","1525377866541","42.97273269","-78.77572383","8.5","136.8","gps"
"1525377868000","1525377867540","42.97268331","-78.77565261","7.5","136.5","gps"
